"";"El Salvador";"República Dominicana";"Guatemala";"Puerto Rico";"Bolivia";"Honduras";"Panamá";"Paraguay";"Venezuela";"Costa Rica";"Otro";"Cuba";"Uruguay";"Argentina";"Ecuador";"Chile";"Colombia";"Perú";"México";"España"
"pais";1;2;4;4;5;5;9;12;31;37;42;44;45;70;94;129;136;146;169;269
"pais.per";0,08;0,16;0,32;0,32;0,4;0,4;0,72;0,96;2,47;2,95;3,35;3,51;3,59;5,58;7,5;10,29;10,85;11,64;13,48;21,45
